City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,82.4,74,20,21.92,US,1595825033
Rikitea,-23.12,-134.97,70.59,78,3,19.46,PF,1595825034
Tasiilaq,65.61,-37.64,41.0,93,100,5.82,GL,1595825035
Puerto Ayora,-0.74,-90.35,68.0,88,55,3.0,EC,1595824910
Forsytheganj,52.63,29.73,64.87,91,85,4.72,BY,1595824967
Kaitangata,-46.28,169.85,54.0,57,0,1.01,NZ,1595825038
Albany,42.6,-73.97,77.0,96,94,4.38,US,1595825011
Kununurra,-15.77,128.73,82.4,14,66,10.29,AU,1595825040
Chui,-33.7,-53.46,45.97,92,2,7.05,UY,1595825041
Belyy Yar,53.6,91.39,68.0,64,91,11.18,RU,1595825043
Castro,-24.79,-50.01,54.1,92,100,2.95,BR,1595825044
Blackfoot,43.19,-112.34,73.99,23,0,5.03,US,1595824853
Camapuã,-19.53,-54.04,69.53,47,71,6.49,BR,1595825007
Ushuaia,-54.8,-68.3,33.8,80,40,21.92,AR,1595825047
North Bend,43.41,-124.22,62.01,93,1,5.82,US,1595825048
Hobart,-42.88,147.33,55.0,58,90,16.11,AU,1595824757
Husavik,66.04,-17.34,42.28,80,83,7.23,IS,1595825028
Ostrovnoy,68.05,39.51,62.53,73,90,1.39,RU,1595825038
Klaksvík,62.23,-6.59,46.4,87,100,14.99,FO,1595824952
Tiarei,-17.53,-149.33,78.8,78,40,13.87,PF,1595825053
Pevek,69.7,170.31,41.13,87,33,30.29,RU,1595825055
Vila Velha,-20.33,-40.29,69.8,94,90,1.12,BR,1595824871
Parsons,37.34,-95.26,80.6,74,1,9.31,US,1595825057
Yulara,-25.24,130.99,68.0,28,0,12.75,AU,1595825058
Muravlenko,63.79,74.52,56.17,53,100,14.25,RU,1595825059
Maţāy,28.42,30.78,76.17,61,0,14.41,EG,1595824980
Hailun,47.45,126.93,86.45,47,0,6.2,CN,1595825061
Norman Wells,65.28,-126.83,71.6,53,20,4.7,CA,1595824955
Khatanga,71.97,102.5,47.12,61,99,10.27,RU,1595825063
Punta Arenas,-53.15,-70.92,35.6,74,64,12.75,CL,1595825043
East London,-33.02,27.91,55.4,66,40,8.05,ZA,1595825065
Bredasdorp,-34.53,20.04,35.6,93,0,4.83,ZA,1595825067
Ridgecrest,35.62,-117.67,89.6,13,1,11.41,US,1595825068
Caravelas,-17.71,-39.25,70.11,84,30,5.64,BR,1595824923
Kautokeino,69.01,23.04,57.16,78,10,12.53,NO,1595825070
Mossamedes,-15.2,12.15,65.07,74,0,3.76,AO,1595825071
Sumter,28.71,-82.08,78.01,95,41,1.99,US,1595825072
São Domingos do Maranhão,-5.58,-44.39,69.4,54,0,4.99,BR,1595825073
New Norfolk,-42.78,147.06,55.0,73,100,1.01,AU,1595825075
Cape Town,-33.93,18.42,51.01,93,0,3.36,ZA,1595824812
Fare,-16.7,-151.02,79.57,76,100,15.35,PF,1595825018
Casambalangan,18.38,122.13,87.78,66,57,5.19,PH,1595825079
Saldanha,-33.01,17.94,44.6,81,0,6.93,ZA,1595824986
Port Elizabeth,-33.92,25.57,50.0,87,87,8.05,ZA,1595825082
Atuona,-9.8,-139.03,80.1,73,7,26.04,PF,1595824915
Cabo San Lucas,22.89,-109.91,82.99,78,40,13.87,MX,1595825084
San Luis,-33.3,-66.34,47.37,50,38,20.33,AR,1595824813
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595825087
Gaoual,11.75,-13.2,73.87,94,100,2.08,GN,1595825088
Lufilufi,-13.87,-171.6,82.4,88,75,8.05,WS,1595825089
Mahébourg,-20.41,57.7,71.6,73,75,14.99,MU,1595825091
São Filipe,14.9,-24.5,74.43,84,70,12.37,CV,1595825092
Hofn,64.25,-15.21,47.79,61,100,14.72,IS,1595824988
Troitsko-Pechorsk,62.71,56.2,72.59,44,27,6.26,RU,1595825094
Saint-Philippe,-21.36,55.77,69.8,64,56,2.24,RE,1595825095
Bambous Virieux,-20.34,57.76,73.0,73,75,14.99,MU,1595825096
George Town,5.41,100.34,87.8,74,20,10.29,MY,1595824827
Half Moon Bay,37.46,-122.43,64.4,93,90,4.7,US,1595825098
Nikolskoye,59.7,30.79,69.01,82,17,4.47,RU,1595825099
Honiara,-9.43,159.95,91.4,59,20,11.41,SB,1595824994
Kurumkan,54.3,110.3,65.03,84,100,3.13,RU,1595825103
Inawayan,6.96,125.47,83.03,73,99,5.61,PH,1595825104
Chokurdakh,70.63,147.92,47.95,59,95,11.01,RU,1595825105
Libertador General San Martín,-23.81,-64.79,46.0,79,0,2.44,AR,1595825106
Yellowknife,62.46,-114.35,66.0,63,75,9.17,CA,1595825109
Makakilo City,21.35,-158.09,82.4,65,90,14.99,US,1595825035
The Pas,53.83,-101.25,66.2,68,20,8.05,CA,1595825113
Laguna,38.42,-121.42,77.0,41,1,9.17,US,1595825114
Naze,28.37,129.48,89.6,75,75,14.99,JP,1595825115
Kambove,-10.88,26.6,46.74,85,0,4.5,CD,1595825116
Tiznit Province,29.58,-9.5,74.19,47,20,1.32,MA,1595825118
Shimoda,34.67,138.95,78.8,88,75,13.87,JP,1595825119
Carnarvon,-24.87,113.63,71.6,35,0,8.05,AU,1595824921
Goderich,43.75,-81.72,80.01,87,100,1.99,CA,1595824964
Busselton,-33.65,115.33,69.01,73,93,11.99,AU,1595825122
Ilulissat,69.22,-51.1,44.6,93,100,6.93,GL,1595825124
Torbay,47.67,-52.73,55.99,100,90,18.34,CA,1595824939
Tessalit,20.2,1.01,90.79,32,81,7.36,ML,1595825126
La Grande,45.32,-118.09,75.2,36,1,6.93,US,1595825127
Bethel,41.37,-73.41,72.0,78,1,5.21,US,1595824904
Lalupon,7.47,4.07,70.45,96,98,3.13,NG,1595825129
Kimbe,-5.55,150.14,85.24,72,100,3.53,PG,1595824953
Chumikan,54.72,135.31,63.75,71,2,7.45,RU,1595825132
Esperance,-33.87,121.9,64.4,68,67,23.04,AU,1595824975
Labuhan,-6.88,112.21,85.21,53,80,3.56,ID,1595825135
Shahr-e Kord,32.33,50.86,75.2,27,20,2.24,IR,1595825136
Te Anau,-45.42,167.72,45.32,82,15,0.16,NZ,1595824963
Ponnāni,10.77,75.93,84.2,79,20,4.7,IN,1595825140
Mackenzie,55.3,-123.17,62.98,70,6,4.79,CA,1595825141
Vaini,-21.2,-175.2,73.4,78,40,11.41,TO,1595825142
Isangel,-19.55,169.27,80.6,69,9,10.29,VU,1595824995
Aykhal,66.0,111.5,42.8,75,90,8.95,RU,1595824928
Ossora,59.24,163.07,65.35,54,0,6.17,RU,1595825146
Cockburn Town,21.46,-71.14,82.4,83,42,16.4,TC,1595824851
Vila do Maio,15.13,-23.22,77.0,78,20,10.29,CV,1595825148
Upernavik,72.79,-56.15,42.78,81,30,6.64,GL,1595825149
Bondeno,44.89,11.41,71.01,85,10,1.99,IT,1595825150
Urusha,54.05,122.9,78.03,65,99,5.88,RU,1595825151
Touros,-5.2,-35.46,71.6,100,75,4.7,BR,1595825152
Nouadhibou,20.93,-17.03,71.6,83,0,20.8,MR,1595825153
Hermanus,-34.42,19.23,45.0,88,1,1.99,ZA,1595825155
